name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
GritLM	Generative Representational Instruction Tuning	Muennighoff; Su; Wang; Yang; Wei; Yu; Singh; Kiela	2024	arXiv preprint	2402.09906	https://github.com/ContextualAI/gritlm	700	2025-06-25	MIT	yes (7B + 8x7B weights, code)	Joint generative+embedding training via instruction-switched attention; no-loss unification claim; >60% RAG speedup	1	3	admit	Primary source opened (abs + PDF); core joint-training recipe for capability 1
LLM2Vec	Large Language Models Are Secretly Powerful Text Encoders	BehnamGhader; Adlakha; Mosbach; Bahdanau; Chapados; Reddy	2024	COLM 2024	2404.05961	https://github.com/McGill-NLP/llm2vec	1714	2026-04-04	MIT	yes (code + adapted 1.3B-8B checkpoints)	Three-step decoder-to-encoder conversion: bidirectional attention + MNTP + contrastive	1	3	admit	Primary source opened (abs + PDF); applies down to 1.3B; pooling/attention ablations
NV-Embed	Improved Techniques for Training LLMs as Generalist Embedding Models	Lee; Roy; Xu; Raiman; Shoeybi; Catanzaro; Ping	2024	ICLR 2025 (Spotlight)	2405.17428	https://huggingface.co/nvidia/NV-Embed-v2	n/a (HF 23k downloads)	--	CC-BY-NC-4.0	yes (v1 + v2 weights, gated)	Latent-attention pooling beats last-token/mean; causal mask removed for contrastive training; two-stage instruction tuning	1	3	admit	Primary source opened (abs + PDF); no GitHub repo exists, weights on HF; NC license limits reuse
E5-Mistral	Improving Text Embeddings with Large Language Models	Wang; Yang; Huang; Yang; Majumder; Wei	2024	ACL 2024	2401.00368	https://github.com/microsoft/unilm	22212	2026-08-26	MIT	yes (E5-mistral-7b-instruct + synthetic data recipe)	Synthetic-data-only contrastive fine-tune of decoder LLM, last-token pooling, <1k steps	1	3	admit	Primary source opened (abs + PDF); star count is repo-level (unilm monorepo), not model-level
Echo / Repetition Improves Language Model Embeddings	Repetition Improves Language Model Embeddings	Springer; Kotha; Fried; Neubig; Raghunathan	2024	ICLR 2025	2402.15449	--	n/a	--	--	no (method only; no released checkpoint found)	Repeat-input trick gives causal decoders bidirectional-like embeddings with zero architecture change	1	3	admit	Primary source opened (abs + PDF); no official code repo found; doubles sequence length
Qwen3-Embedding	Advancing Text Embedding and Reranking Through Foundation Models	Zhang; Li; Long; Zhang; Lin; Yang; Xie; Yang	2025	arXiv preprint	2506.05176	https://github.com/QwenLM/Qwen3-Embedding	2029	2025-09-30	Apache-2.0	yes (0.6B / 4B / 8B, open)	Decoder-based embedders at 0.6B scale with multi-stage training + model merging; smallest strong open recipe	1	3	admit	Primary source opened (abs + PDF); 0.6B variant is the closest public artefact to MelodyScribe scale
OneGen	Efficient One-Pass Unified Generation and Retrieval for LLMs	Zhang; Peng; Sun; Chen; Liang; Zhang; Zhou; Chen; Zhang	2024	EMNLP 2024 (Findings)	2409.05152	https://github.com/zjunlp/OneGen	148	2024-11-13	MIT	yes (code + Llama2-7B task models on HF)	Autoregressive retrieval tokens let one LLM generate AND retrieve in a single forward pass reusing KV cache	1	3	admit	Primary source opened (abs + PDF + repo page); only work found that truly unifies in one pass; 7B only
PromptEOL	Scaling Sentence Embeddings with Large Language Models	Jiang; Huang; Luan; Wang; Zhuang	2023	EMNLP 2024 (Findings)	2307.16645	https://github.com/kongds/scaling_sentemb	109	2024-03-22	none listed	yes (code + models per paper)	Explicit one-word-limitation prompt extracts causal-LM embeddings; scaling study 125M-66B; 2.7B beats 4.8B prior SOTA	1	3	admit	Primary source opened (abs + PDF); only scaling study down to 125M; repo license unlisted
KaLM-Embedding	Superior Training Data Brings A Stronger Embedding Model	Hu; Shan; Zhao; Sun; Liu; Li; Ye; Wei	2025	arXiv preprint	2501.01028	https://github.com/HITsz-TMG/KaLM-Embedding	119	2025-06-30	MIT	yes (code + 0.5B Qwen2-based + multilingual-mini)	Decoder-based embedder on Qwen2-0.5B SOTA among <1B models; persona synthetic data + ranking-consistency filter	1	3	admit	Primary source opened (abs + PDF); directly demonstrates sub-1B decoder-embedder viability
MetaEOL	Meta-Task Prompting Elicits Embeddings from Large Language Models	Lei; Wu; Zhou; Shen; Cao; Tao; Yates	2024	ACL 2024	2402.18458	https://github.com/Yibin-Lei/MetaEOL	12	2024-07-25	none listed	code only (no checkpoint)	Training-free frozen-decoder embeddings via 8 meta-task prompts; beats PromptEOL/Echo, competitive with LLM2Vec-7B on STS	1	2	admit	Primary source opened (abs + PDF); 8 forward passes per text; repo license unlisted, 12 stars
