name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
MemGPT	MemGPT: Towards LLMs as Operating Systems	Charles Packer et al.	2023	arXiv preprint	2310.08560	https://github.com/letta-ai/letta	24702	2026-09-10	Apache-2.0	yes	Virtual-context OS metaphor: working context plus recall/archival stores with explicit read-write calls.	2	3	admit	Abs page opened and abstract verified; stores map directly to MelodyScribe filing operations.
Generative-Agents	Generative Agents: Interactive Simulacra of Human Behavior	Joon Sung Park et al.	2023	arXiv preprint	2304.03442	--	--	--	--	yes (code per paper)	Memory stream with salience retrieval plus plan-act-reflect loop; earliest reflection-based consolidation.	4	2	admit	Abs page opened and abstract verified; reflection loop is the template for background revise passes.
Reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	Noah Shinn et al.	2023	arXiv preprint	2303.11366	--	--	--	--	yes (code per paper)	Episodic memory of verbal self-reflections in a slot, no weight updates; actor-evaluator loop.	4	2	admit	Abs page opened and abstract verified; typed episodic slot with no SQL or placement policy.
A-MEM	A-MEM: Agentic Memory for LLM Agents	Wujiang Xu et al.	2025	NeurIPS 2025	2502.12110	https://github.com/agiresearch/A-mem	1175	2025-12-12	MIT	yes	Zettelkasten-style evolving notes where the agent builds links and descriptions without fixed schema.	2	3	admit	Abs page opened and abstract verified; repo metadata fetched; closest to self-organizing placement.
Mem0	Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory	Prateek Chhikara et al.	2025	arXiv preprint	2504.19413	https://github.com/mem0ai/mem0	65151	2026-09-11	Apache-2.0	yes	Two-phase extract-then-update pipeline over facts plus optional graph store; ADD/UPDATE/DELETE operations.	2	3	admit	Abs page opened and abstract verified; repo metadata fetched; operation set is reusable for Folio writes.
MemOS	MemOS: A Memory OS for AI System	Zhiyu Li et al.	2025	arXiv preprint	2507.03724	https://github.com/MemTensor/MemOS	11287	2026-09-09	Apache-2.0	yes	MemCube units with type metadata governed by MemScheduler lifecycle across parametric activation and plaintext stores.	2	3	admit	Abs page opened and abstract verified; repo metadata fetched; only system with explicit parametric store type.
MIRIX	MIRIX: Multi-Agent Memory System for LLM-Based Agents	Yu Wang et al.	2025	arXiv preprint	2507.07957	--	--	--	--	unknown	Six-component modular memory (episodic semantic procedural etc.) routed by a multi-agent controller.	2	3	admit	Abs page opened and abstract verified; richest typed-store decomposition found.
Zep-Graphiti	Zep: A Temporal Knowledge Graph Architecture for Agent Memory	Preston Rasmussen et al.	2025	arXiv preprint	2501.13956	https://github.com/getzep/zep	4908	2026-09-11	Apache-2.0	yes	Bi-temporal property graph with valid and ingested timestamps for entity and edge versioning.	2	3	admit	Abs page opened and abstract verified; repo metadata fetched; temporal-validity model to copy.
MemoryBank	MemoryBank: Enhancing Large Language Models with Long-Term Memory	Wanjun Zhong et al.	2023	arXiv preprint	2305.10250	--	--	--	--	yes (code per paper)	Memory tower with Ebbinghaus forgetting curve plus user-portrait updater for personality retention.	4	2	admit	Abs page opened and abstract verified; forgetting curve is a concrete eviction policy.
HippoRAG	HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models	Bernal Jimenez Gutierrez et al.	2024	NeurIPS 2024	2405.14831	https://github.com/OSU-NLP-Group/HippoRAG	3999	2026-09-03	MIT	yes	OpenIE triples plus Personalized PageRank over passage nodes for associative retrieval.	2	2	admit	Abs page opened and abstract verified; repo metadata fetched; foundation for HippoRAG 2.
HippoRAG-2	HippoRAG 2 (in: From RAG to Memory: Non-Parametric Continual Learning for Large Language Models)	Bernal Jimenez Gutierrez et al.	2025	ICML 2025	2502.14802	https://github.com/OSU-NLP-Group/HippoRAG	3999	2026-09-03	MIT	yes	Deeper passage integration plus online LLM use; fixes factual-memory drop of graph-augmented RAG.	2	2	admit	Abs page opened and abstract verified; brief ID attribution confirmed correct after checking.
Memanto	Memanto: Typed Semantic Memory with Information-Theoretic Retrieval for Long-Horizon Agents	Seyed Moein Abtahi et al.	2026	arXiv preprint	2604.22085	--	--	--	--	unknown	Typed semantic memory that skips LLM entity extraction and graph maintenance for cheaper ingestion.	2	3	admit	Abs page opened and abstract verified; direct evidence typed stores need not require LLM extraction.
Agent-Memory-Database	Is Agent Memory a Database? Rethinking Data Foundations for Long-Term AI Agent Memory	Abdelghny Orogat et al.	2026	arXiv preprint	2605.26252	--	--	--	--	unknown	Argues memory systems fail on growth revision and forgetting; demands database-style revision and transaction semantics.	2	3	admit	Abs page opened and abstract verified; strongest primary-source case for an SQL-backed store.
Beyond-Semantic-Organization	Beyond Semantic Organization: Memory as Execution State Management for Long-Horizon Agents	Yaoqi Chen et al.	2026	arXiv preprint	2606.06090	--	--	--	--	unknown	Retrieval should reconstruct execution state not semantic neighborhoods; mixes of valid and erroneous traces hurt.	2	2	admit	Abs page opened and abstract verified; challenges similarity-only retrieval assumption.
Harness-the-Memory	Harness the Memory: A Holistic Evaluation of Memory Substrates in Memory Agents	Wei-Chieh Huang et al.	2026	arXiv preprint	2608.15008	--	--	--	--	unknown	Controlled comparison of substrates: dense sparse text structural hierarchical refinement parametric activation.	2	2	admit	Abs page opened and abstract verified; only head-to-head substrate comparison found.
Episodic-Semantic-Scientific	Episodic-Semantic Memory Architecture for Long-Horizon Scientific Agents	Nikola Milosevic	2026	arXiv preprint	2605.17625	--	--	--	--	unknown	Dual-process split of 10-message episodic buffer from semantic store for saturated scientific contexts.	2	1	admit	Abs page opened and abstract verified; thin single-author study so relevance capped at 1.
MemTX	MemTX: Transactional Belief Commit for Stateful Agent Memory	Xiaoyang Li et al.	2026	arXiv preprint	2607.23929	--	--	--	--	unknown	A memory write is not a belief commit: staged commit protocol before writes become actionable.	2	3	admit	Abs page opened and abstract verified; commit gate design transfers to Folio admission.
HAGE	HAGE: Harnessing Agentic Memory via RL-Driven Weighted Graph Evolution	Dongming Jiang et al.	2026	arXiv preprint	2605.09942	--	--	--	--	unknown	Weighted multi-relational graph with query-conditioned traversal replacing static binary edges.	4	2	admit	Abs page opened and abstract verified; edge-confidence model for revise pass.
eMEM	eMEM: A Hybrid Spatio-Temporal Memory System For Embodied Agents	A. Haroon Rasheed et al.	2026	arXiv preprint	2606.03374	--	--	--	--	unknown	Multi-index memory: SQLite structured storage plus hnswlib semantic search plus space-time keys.	2	3	admit	Abs page opened and abstract verified; only system found pairing SQLite with vector index explicitly.
REMem	REMem: Reasoning with Episodic Memory in Language Agent	Yiheng Shu et al.	2026	ICLR 2026	2602.13530	--	--	--	--	unknown	Offline hybrid memory graph of time-aware gists and facts plus online agentic retriever with tools.	2	3	admit	Abs page opened via search listing and verified; formalizes episodicity gap in current agents.
SimpleMem	SimpleMem: Efficient Lifelong Memory for LLM Agents	Jiaqi Liu et al.	2026	arXiv preprint	2601.02553	https://github.com/aiming-lab/SimpleMem	3754	2026-07-24	MIT	yes	Three-stage semantic structured compression with intent-aware retrieval planning; 30x token reduction claim.	2	2	admit	Abs verified via search listing; repo metadata fetched; compression pipeline relevant to revise pass.
Omni-SimpleMem	Omni-SimpleMem: Autoresearch-Guided Discovery of Lifelong Multimodal Agent Memory	Jiaqi Liu et al.	2026	arXiv preprint	2604.01007	https://github.com/aiming-lab/SimpleMem	3754	2026-07-24	MIT	yes	Autonomous research pipeline discovering memory architectures; bug fixes beat hyperparameter tuning.	4	1	admit	Abs verified via search listing; admits automated discovery but thin on typed-store detail.
MemInsight	MemInsight: Autonomous Memory Augmentation for LLM Agents	Rana Salama et al.	2025	arXiv preprint	2503.21760	--	--	--	--	unknown	Autonomous augmentation of stored interactions to enrich semantic representation and retrieval.	4	2	admit	Abs verified via search listing; augmentation-during-revise precedent.
LightMem	Lightweight LLM Agent Memory with Small Language Models	Jiaquan Zhang et al.	2026	ACL 2026	2604.07798	https://github.com/zjunlp/LightMem	--	--	--	yes	STM MTM LTM tiers with SLMs driving retrieval write and offline consolidation; small-model memory operators.	2	3	admit	Abs verified via search listing; directly supports small-model-manages-memory claim.
