name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
LoRA	LoRA: Low-Rank Adaptation of Large Language Models	Edward J. Hu, Yelong Shen, Phillip Wallis, Zeyuan Allen-Zhu, Yuanzhi Li, Shean Wang, Lu Wang, Weizhu Chen	2021	not venue-checked (arXiv abs opened)	2106.09685	https://github.com/microsoft/LoRA	13789	2024-12-17T03:55:52Z	MIT	code+checkpoints (per paper)	Freezes base weights, trains rank-r BA adapters; includes rank-deficiency and W_q/W_v-only ablations.	5	3	admit	Abs page opened; base reference for all rank/alpha/target-module claims.
LoRA Learns Less	LoRA Learns Less and Forgets Less	Dan Biderman, Jacob Portes, Jose Javier Gonzalez Ortiz, Mansheej Paul, Philip Greengard, Connor Jennings, Daniel King, Sam Havens, Vitaliy Chiley, Jonathan Frankle, Cody Blakeney, John P. Cunningham	2024	TMLR 2024 (Featured Certification)	2405.09673	unknown (paper code URL not resolved on fetched pages)	unverified	unverified	unverified	unknown	At r=16 LoRA learns less and forgets less than full FT; at r=256 it learns as much while forgetting less; FT updates are 10-100x higher rank.	5	3	admit	Abs page + HTML excerpts opened; core forgetting-vs-capacity evidence.
Intruder Dimensions	LoRA vs Full Fine-tuning: An Illusion of Equivalence	Reece Shuttleworth, Jacob Andreas, Antonio Torralba, Pratyusha Sharma	2024	NeurIPS 2025 (proceedings PDF URL)	2410.21228	unknown	unverified	unverified	unverified	unknown	LoRA creates high-ranking intruder singular vectors that cause forgetting; scaling them down cuts forgetting with minimal task loss; fixed-alpha high-rank LoRA forgets more.	5	3	admit	Abs page opened; proceedings PDF excerpt confirms venue and alpha=2r finding.
Forgetting Scaling Laws	Scaling Laws for Forgetting When Fine-Tuning Large Language Models	Damjan Kalajdzievski	2024	not venue-checked (arXiv abs excerpt)	2401.05605	unknown	unverified	unverified	unverified	unknown	PEFT still forgets: forgetting is inverse-linear in FT loss and a shifted power law in params-tuned and steps; proposes pre/post cross-entropy forgetting metric.	5	3	admit	Abs page excerpt opened; only quantitative forgetting law found.
rsLoRA	A Rank Stabilization Scaling Factor for Fine-Tuning with LoRA	Damjan Kalajdzievski	2023	not venue-checked (arXiv abs excerpt)	2312.03732	unknown (HF blog by author)	unverified	unverified	unverified	unknown	Standard alpha/r scaling collapses gradients as rank grows; alpha/sqrt(r) stabilizes and unlocks gains from r up to 2048 on Llama 2 + OpenOrca.	5	3	admit	Abs + HTML + HF paper-page excerpts opened; directly governs spike 011 rank arm.
LoRA+	LoRA+: Efficient Low Rank Adaptation of Large Models	Soufiane Hayou, Nikhil Ghosh, Bin Yu	2024	ICML 2024 (PMLR v235)	2402.12354	https://github.com/nikhil-ghosh-berkeley/loraplus (in paper; API lookup failed 2026-09-12)	unverified	unverified	unverified	code (per PMLR page)	Same LR for A and B is inefficient at width; fixed ratio eta_B >> eta_A gives ~2x speedup and 1-2% gains at LoRA cost.	5	3	admit	Abs + PMLR + HTML excerpts opened; directly governs LR arm (spike used single 1e-4).
muA	Learning Rate Scaling across LoRA Ranks and Transfer to Full Finetuning	Nan Chen, Soledad Villar, Soufiane Hayou	2026	not venue-checked (arXiv abs opened)	2602.06204	unknown	unverified	unverified	unverified	unknown	muA theory: optimal LR is rank-invariant under alpha=r^-1 but scales ~1/sqrt(r) under constant alpha; LoRA-tuned LRs transfer to full FT.	5	2	admit	Abs page opened; newest LR-vs-rank guidance (Feb 2026).
DoRA	DoRA: Weight-Decomposed Low-Rank Adaptation	Shih-Yang Liu, Chien-Yi Wang, Hongxu Yin, Pavlo Molchanov, Yu-Chiang Frank Wang, Kwang-Ting Cheng, Min-Hung Chen	2024	ICML 2024 (PMLR v235; Oral per abs comments)	2402.09353	https://github.com/NVlabs/DoRA	997	2026-03-24T09:13:24Z	NOASSERTION	code	Decomposes weights into magnitude + direction, LoRA on direction; mimics FT learning pattern and beats LoRA on LLaMA/LLaVA/VL-BART.	5	2	admit	Abs + PMLR excerpts opened; initial recalled id 2402.10960 disproved at abs page, corrected via search.
PiSSA	PiSSA: Principal Singular Values and Singular Vectors Adaptation of Large Language Models	Fanxu Meng, Zhaohui Wang, Muhan Zhang	2024	NeurIPS 2024	2404.02948	https://github.com/MuLabPKU/PiSSA	430	2025-06-30T04:04:33Z	none declared	code	Init A/B from principal SVD components, freeze residual; faster convergence than LoRA across 184M-70B; QPiSSA beats QLoRA 4-bit.	5	2	admit	Abs + NeurIPS proceedings excerpts opened; repo found via API search (moved from GraphPKU).
AdaLoRA	AdaLoRA: Adaptive Budget Allocation for Parameter-Efficient Fine-Tuning	Qingru Zhang, Minshuo Chen, Alexander Bukharin, Nikos Karampatziakis, Pengcheng He, Yu Cheng, Weizhu Chen, Tuo Zhao	2023	ICLR 2023	2303.10512	https://github.com/QingruZhang/AdaLoRA	395	2023-06-01T18:56:18Z	MIT	code	Allocates rank budget by importance across matrices with SVD parametrization + cubic schedule; biggest wins at low budgets.	5	2	admit	Abs + HTML excerpts opened; initial recalled id 2304.15033 wrong, corrected via search.
