name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
distilling-step-by-step	Distilling Step-by-Step! Outperforming Larger Language Models with Less Training Data and Smaller Model Sizes	Hsieh et al.	2023	ACL Findings 2023	doi:10.18653/v1/2023.findings-acl.507	--	--	--	--	no (method only; public benchmarks)	540M PaLM learns from GPT-3.5/PaLM-540B rationales and beats the teacher on NLI with far less data	2	3	admit	Verified via OpenAlex + ACL Anthology PDF (downloaded). Core support for hypothesis.
minillm	MiniLLM: On-Policy Distillation of Large Language Models	Gu et al.	2023	arXiv preprint	2306.08543	https://github.com/microsoft/LMOps (minillm)	unknown	unknown	unverified	yes: code+student models (HF org MiniLLM verified, e.g. MiniPLM-Qwen)	Reverse-KL + policy-gradient on student samples fixes exposure bias; GPT-2-760M students improve on RougeL/exact-match	2	3	admit	Abs page verified; PDF downloaded. Recalled id 2312.13344 was wrong (see ledger).
on-policy-distillation-ag arwal	On-Policy Distillation of Language Models: Learning from Self-Generated Mistakes	Agarwal et al.	2023	arXiv preprint	2306.13649	--	--	--	--	unverified	Student-generated outputs as distillation data with teacher correction; GKD-style on-policy recipe at 77M-7B scale	2	3	admit	Abs verified; PDF downloaded. Admitted in place of unverifiable 'GKD' name (see ledger).
distillm	DistiLLM: Towards Streamlined Distillation for Large Language Models	Ko et al.	2024	arXiv preprint	2402.03898	--	--	--	--	unverified	Skewed KL/SRKL losses unify on/off-policy KD; 1B-7B students keep instruction-following on a single GPU budget	2	3	admit	Abs verified (arXiv search + OpenAlex); PDF downloaded.
distillm-2	DistiLLM-2: A Contrastive Approach Boosts the Distillation of LLMs	Ko et al.	2025	arXiv preprint	2503.07067	--	--	--	--	unverified	Contrastive on-policy distillation; small students gain on reasoning benchmarks	2	2	admit	Abs verified; PDF downloaded.
speculative-kd	Speculative Knowledge Distillation: Bridging the Teacher-Student Gap Through Interleaved Sampling	Xu et al.	2024	arXiv preprint	2410.11325	--	--	--	--	unverified	Interleaved teacher/student sampling keeps student on-policy without full rollouts; cheap to run	2	2	admit	Abs verified via OpenAlex; PDF downloaded.
seqkd	Sequence-Level Knowledge Distillation	Kim and Rush	2016	EMNLP 2016	1606.07947	--	--	--	--	no (method only)	Teacher beam outputs as training targets beat word-level KD; foundation of all sequence-distillation recipes	2	2	admit	Abs verified; PDF downloaded.
fdiv-seqkd	f-Divergence Minimization for Sequence-Level Knowledge Distillation	Wen et al.	2023	arXiv preprint	2307.15190	--	--	--	--	unverified	General f-divergence view of seqKD; mode-seeking divergences suit small students	2	2	admit	Abs verified via arXiv search; PDF downloaded.
orca	Orca: Progressive Learning from Complex Explanation Traces of GPT-4	Mukherjee et al.	2023	arXiv preprint	2306.02707	--	--	--	--	no (weights unreleased; flan-style data recipe)	13B Orca trained on GPT-4 explanation traces matches ChatGPT on reasoning; imitation + explanations recipe	2	3	admit	Abs verified via OpenAlex; PDF downloaded.
orca-2	Orca 2: Teaching Small Language Models How to Reason	Mitra et al.	2023	arXiv preprint	2311.11045	--	--	--	--	no (weights unreleased; prompt-strategy recipe)	7B/13B taught 27 reasoning strategies (step-by-step, recall-then-generate) beat larger models on reasoning evals	2	3	admit	Abs verified; PDF downloaded.
