name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
LoCoMo	Evaluating Very Long-Term Conversational Memory of LLM Agents	Maharana, Lee, Tulyakov, Bansal, Barbieri, Fang	2024	ACL 2024	2402.17753	https://snap-research.github.io/locomo				yes	50 very-long dialogues (300 turns, 9K tokens, 35 sessions) with QA, event-summarization and multimodal memory tasks.	2	3	admit	Abs page and ACL Anthology entry opened; figures verified.
LongMemEval	LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory	Wu, Wang, Yu, Zhang, Chang, Yu	2024	ICLR 2025	2410.10813	https://github.com/xiaowu0162/LongMemEval	1083	2026-05-11	MIT	yes	500-question benchmark over five memory abilities (extraction, multi-session, updates, temporal, abstention) plus an indexing-retrieval-reading design framework.	2	3	admit	Abs page, ICLR proceedings entry and repo record opened/fetched.
BRIGHT	BRIGHT: A Realistic and Challenging Benchmark for Reasoning-Intensive Retrieval	Su, Yen, Xia, Shi, Muennighoff, Wang, Liu, Shi, Siegel, Tang, Sun, Yoon, Arik, Chen, Yu	2024	ICLR 2025	2407.12883					yes	1384 real-world queries where relevance needs multi-step reasoning; SOTA dense retrievers collapse and explicit reasoning adds up to 12.2 points.	2	3	admit	Abs page and ICLR proceedings entry opened; numbers verified.
CodeRAG-Bench	CodeRAG-Bench: Can Retrieval Augment Code Generation?	Wang, Asai, Yu, Xu, Xie, Neubig, Fried	2024	NAACL 2025 Findings	2406.14497	https://github.com/code-rag-bench/code-rag-bench	172 (via search excerpt, not live API)		unknown	yes	9K coding tasks with 25M retrieval docs and canonical-document annotations; separates retriever quality from generator use of context.	2	3	admit	Abs page and ACL Anthology entry opened; repo URL from paper. Star count not API-verified.
tau-bench	tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains	Yao, Shinn, Razavi, Narasimhan	2024	ICLR 2025	2406.12045	https://github.com/sierra-research/tau-bench	1433	2026-03-18	MIT	yes	Retail/airline agent benchmark with LM-simulated users, policy documents, DB-state matching eval and a pass-k consistency metric.	2	3	admit	Abs page, ICLR proceedings entry and repo API record opened/fetched.
MemBench	MemBench: Towards More Comprehensive Evaluation on the Memory of LLM-based Agents	Tan, Zhang, Ma, Chen, Dai, Dong	2025	ACL 2025 Findings	2506.21605	https://github.com/import-myself/Membench				yes	Factual plus reflective memory over participation and observation scenarios, scored on effectiveness, efficiency and capacity.	2	3	admit	Abs page and ACL Anthology entry opened; repo URL from paper text.
BFCL	The Berkeley Function Calling Leaderboard (BFCL): From Tool Use to Agentic Evaluation of Large Language Models	Patil, Mao, Yan, Ji, Suresh, Stoica, Gonzalez	2025	ICML 2025 (PMLR 267)	https://proceedings.mlr.press/v267/patil25a.html	https://github.com/ShishirPatil/gorilla/tree/main/berkeley-function-call-leaderboard	13019 (parent repo)	2026-04-13 (parent repo)	Apache-2.0	yes	De-facto tool-call benchmark: AST-match grading without execution, now multi-turn/stateful, reporting cost and latency alongside accuracy.	1	3	admit	PMLR page opened (no arXiv version exists); PDF downloaded from PMLR-linked file. Filed under PMLR id, see method.md.
ToolSandbox	ToolSandbox: A Stateful, Conversational, Interactive Evaluation Benchmark for LLM Tool Use Capabilities	Lu, Holleis, Zhang, Aumayer, Nan, Bai, Ma, Ma, Li, Yin, Wang, Pang	2024	NAACL 2025 Findings	2408.04682	https://github.com/apple-aiml-research/ToolSandbox	282	2026-09-11	NOASSERTION	yes	1032 stateful multi-turn tool-use cases with an LLM user simulator and milestone/minefield trajectory scoring.	1	3	admit	Abs page, ACL Anthology entry and repo search record fetched. Paper cites github.com/apple/ToolSandbox; found under apple-aiml-research, likely renamed.
ReAct	ReAct: Synergizing Reasoning and Acting in Language Models	Yao, Zhao, Yu, Du, Shafran, Narasimhan, Cao	2022	ICLR 2023	2210.03629					yes	Interleaved Thought/Action/Observation prompting harness; beats IL/RL baselines on ALFWorld (+34pp) and WebShop (+10pp) with 1-2 shots.	2	3	admit	Abs page and ICLR/OpenReview records opened. Repo URL not opened so left blank.
Reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	Shinn, Cassano, Gopinath, Narasimhan, Yao	2023	NeurIPS 2023	2303.11366	https://github.com/noahshinn/reflexion	3264	2025-01-14	MIT	yes	Actor/Evaluator/Self-Reflection loop storing verbal reflections in episodic memory; 91% HumanEval pass@1 with no weight updates.	2	3	admit	Abs page, NeurIPS proceedings entry and repo record fetched.
