name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason	lanes
ANN-Benchmarks	ANN-Benchmarks: A Benchmarking Tool for Approximate Nearest Neighbor Algorithms	Aumuller, Martin; Bernhardsson, Erik; Faithfull, Alexander	2018	arXiv preprint	1807.05614	https://github.com/erikbern/ann-benchmarks	5732	2026-07-10	MIT	yes	Standard recall-vs-QPS harness; graph methods win high recall but fail some datasets	6	3	admit	Abs page + PDF verified; method for fair head-to-heads (Q6, lane-6 eval support)	10
ScaNN-AQ	Accelerating Large-Scale Inference with Anisotropic Vector Quantization	Guo, Ruiqi; Sun, Philip; Lindgren, Erik; Geng, Quan; Simcha, David; Chern, Felix; Kumar, Sanjiv	2019	arXiv preprint	1908.10396	-			n/a (paper)	yes	Loss penalizing parallel residual component for MIPS; SOTA on ann-benchmarks	6	3	admit	Abs page + PDF verified (open-source impl stated); quantization recipe for cosine/dot retrieval	10
ABTT	All-but-the-Top: Simple and Effective Postprocessing for Word Representations	Mu, Bhat, Viswanath	2017	arXiv preprint (ICLR 2018 — verify before citing)	1702.01417					unknown	Removes dominant common directions to repair degenerate word-embedding geometry (per title).	1	3	admit	Verified at arxiv.org/abs/1702.01417; correct id recovered via OpenAlex after a misrecalled id failed verification.	6
Han-IE-Study	An Empirical Study on Information Extraction using Large Language Models (v1: Is Information Extraction Solved by ChatGPT?)	Ridong Han, Chaohao Yang, Tao Peng, Prayag Tiwari, Xiang Wan, Lu Liu, Benyou Wang	2023	arXiv preprint	2305.14450	repo URL not captured (code+data stated released in paper)	unknown	unknown	unknown	code+data stated released in paper	GPT-4 vs SOTA gap plus soft-matching, robustness and dominant-error-type analysis over 14 IE subtasks	4	3	admit	Verified at arxiv.org/abs/2305.14450 (abs page fetched verbatim); PDF downloaded and header-checked	7
ANCE	Approximate Nearest Neighbor Negative Contrastive Learning for Dense Text Retrieval	Lee Xiong, Chenyan Xiong, Ye Li et al.	2020	arXiv preprint	2007.00808	https://github.com/microsoft/ANCE	389	2026-01-06	MIT	unverified	Async-refreshed ANN index mines corpus-representative hard negatives during training.	1	3	admit	Hard-negative mining recipe that names the train/test negative mismatch; repo facts fetched from GitHub API.	1,2,10
Arctic-Embed	Arctic-Embed: Scalable, Efficient, and Accurate Text Embedding Models	Luke Merrick, Danmei Xu, Gaurav Nuti et al.	2024	arXiv preprint	2405.05374	https://github.com/Snowflake-Labs/arctic-embed	91	2025-11-03	Apache-2.0	yes (Apache-2.0 weights per abs)	Efficiency-first recipe: data filtering and long-context handling; 22M to 334M models, SOTA-for-size on MTEB Retrieval.	1	3	admit	Small-model-first recipe with open weights; id recovered via arXiv abstract search.	2,3
BEIR	BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models	Thakur, Reimers, Rücklé, Srivastava, Gurevych	2021	NeurIPS 2021 Datasets and Benchmarks (per arXiv abs page)	2104.08663	https://github.com/beir-cellar/beir	2288	2025-10-16	Apache-2.0	yes — code, 18 datasets, HF BeIR org	18-dataset zero-shot retrieval benchmark; BM25 robust, late-interaction/rerank best, dense often lags.	1	3	admit	Verified at arxiv.org/abs/2104.08663; correct id recovered from official repo README after two misrecalled ids failed verification.	6
BatchLLM	BatchLLM: Optimizing Large Batched LLM Inference with Global Prefix Sharing and Throughput-oriented Token Batching	Z. Zheng, X. Ji, T. Fang, F. Zhou, C. Liu, G. Peng	2024	MLSys 2026	2412.03594	https://github.com/microsoft/MixLLM/tree/batchllm_vllm_064	-	-	-	yes (branch stated in paper)	Global prefix tree + prefix-group scheduling + decode-ratio-first reorder; 1.3-10.8x vs vLLM/SGLang	5	3	admit	Opened arxiv abs via search excerpt + PDF. Closest match to ordering thousands of prefix-sharing workers.	8
Faiss-GPU	Billion-scale similarity search with GPUs	Johnson, Jeff; Douze, Matthijs; Jegou, Herve	2017	arXiv preprint	1702.08734	https://github.com/facebookresearch/faiss	40893	2026-09-12	MIT	yes	GPU k-selection at 55% of peak, 8.5x faster than prior GPU SOTA; IVF-PQ on GPU	6	3	admit	Abs page + PDF verified; defines GPU ANN path (brute-force, IVF, compressed-domain)	10
CacheBlend	CacheBlend: Fast Large Language Model Serving for RAG with Cached Knowledge Fusion	J. Yao, H. Li, Y. Liu, S. Ray, Y. Cheng, Q. Zhang, K. Du, S. Lu, J. Jiang	2024	arXiv preprint	2405.16444	-	-	-	-	yes (paper states code available)	Selective recompute fuses non-prefix cached chunks; TTFT 2.2-3.3x lower, 2.8-5x throughput vs full recompute	5	3	admit	Opened arxiv abs + PDF (re-verified known item). Non-prefix reuse for section-shuffled prompts.	8
