name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason	lanes
NCI	A Neural Corpus Indexer for Document Retrieval	Wang; Hou; Wang; Miao; Wu; Chen; Xia; Chi; Zhao; Liu; Xie; Sun; Deng; Zhang; Yang	2022	NeurIPS 2022	2206.02743	n/a	n/a	n/a	n/a	paper only	Seq2seq retriever with prefix-aware weight-adaptive decoder, semantic docids from hierarchical k-means, query-generation augmentation and consistency regularization.	3	3	admit	Abs page and PDF opened and verified; end-to-end indexing+retrieval unification with reported gains over BM25 and dense baselines.	10
rsLoRA	A Rank Stabilization Scaling Factor for Fine-Tuning with LoRA	Damjan Kalajdzievski	2023	not venue-checked (arXiv abs excerpt)	2312.03732	unknown (HF blog by author)	unverified	unverified	unverified	unknown	Standard alpha/r scaling collapses gradients as rank grows; alpha/sqrt(r) stabilizes and unlocks gains from r up to 2048 on Llama 2 + OpenOrca.	5	3	admit	Abs + HTML + HF paper-page excerpts opened; directly governs spike 011 rank arm.	5
Smucker-CIKM07	A comparison of statistical significance tests for information retrieval evaluation	Mark Smucker, James Allan, Ben Carterette	2007	CIKM 2007	10.1145/1321440.1321528					no (author-hosted paper PDF only)	Randomization, bootstrap-shift, and paired t-tests agree on TREC runs; Wilcoxon and sign tests mislead and should be discontinued.	3	3	admit	Verified at ACM DL record, Semantic Scholar record, and UMass CIIR page quoting abstract; author-hosted PDF is scanned (10pp, matches 623-632) so text-grep verification was impossible.	8
APIGen	APIGen: Automated Pipeline for Generating Verifiable and Diverse Function-Calling Datasets	Liu et al.	2024	NeurIPS 2024 Datasets & Benchmarks	2406.18518	none verified	—	—	—	yes: 60k-entry dataset (HF Salesforce/xlam-function-calling-60k)	Format+execution+semantic 3-stage verification; 1.3B beats GPT-3.5	1	3	admit	Abs page opened and verified; NeurIPS venue via proceedings page; dataset URL via paper	1
ARES	ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems	Jon Saad-Falcon, Omar Khattab, Christopher Potts, Matei Zaharia	2024	NAACL 2024	2311.09476	https://github.com/stanford-futuredata/ARES	732	2025-03-28	Apache-2.0	yes: code, synthetic-data pipeline, DeBERTa judges	Fine-tunes lightweight judges on synthetic data; scores context relevance, faithfulness, answer relevance with PPI confidence intervals from ~150-300 human labels.	6	3	admit	Abs page and full PDF opened; id-title match verified.	8,9
AutoCompressors	Adapting Language Models to Compress Contexts	Alexis Chevalier; Alexander Wettig; Anirudh Ajith; Danqi Chen	2023	EMNLP 2023	2305.14788	https://github.com/princeton-nlp/AutoCompressors	336	2024-09-09	None	models released	Unsupervised summary-vector compression with summary accumulation; OPT/LLaMA-2 to 30k tokens on one 80GB GPU.	6	3	admit	Verified at arXiv abs page, ACL Anthology page, repo README, and GitHub API; proves soft compression trainable at small scale on single GPU.	9
LLMCompiler	An LLM Compiler for Parallel Function Calling	Kim et al.	2023	arXiv preprint	2312.04511	none verified	—	—	—	yes: framework code (reported in paper)	Plan-then-DAG-execute grammar for parallel calls; TinyAgent builds on it	1	3	admit	Abs page opened and verified; admitted as op-plan grammar design	1
APO	Anchored Preference Optimization and Contrastive Revisions: Addressing Underspecification in Alignment	D'Oosterlinck et al.	2024	arXiv preprint (cs.LG)	2408.06266	n/a	n/a	n/a	n/a (method paper, no artefact)	method + 32K CLAIR pairs recipe published	APO-zero/APO-down controllable DPO family; 32K CLAIR revision pairs + APO closes Llama-3-8B to GPT-4-turbo gap by 45% on MixEval-Hard	4	3	admit	Primary verified (abs page + PDF fetched); the alignment objective SmolLM3's APO stage instantiates	7
GENRE	Autoregressive Entity Retrieval	Nicola De Cao, Gautier Izacard, Sebastian Riedel, Fabio Petroni	2020	preprint (ICLR 2021)	2010.00904			unknown	unknown	unknown	Generates entity names with constrained beam search; cross-encodes mention and entity	1	3	admit	Verified via Semantic Scholar record and MIT/TACL citations 2026-09-12; abs page not directly opened	6,10
SEAL	Autoregressive Search Engines: Generating Substrings as Document Identifiers	Bevilacqua; Ottaviano; Lewis; Yih; Riedel; Petroni	2022	arXiv preprint	2204.10628	https://github.com/facebookresearch/SEAL	296	2023-04-04T12:21:57Z	NOASSERTION (no machine-readable license)	code (repo)	Generates corpus-grounded n-gram identifiers under FM-index-constrained decoding and scores documents by aggregating identifier scores.	3,1	3	admit	Abs page, PDF and repo page opened and verified; corpus-grounded constrained decoding is the closest precedent to Proof-checked verbatim-quote emission.	10
RLOO	BACK TO BASICS: REVISITING REINFORCE STYLE OPTIMIZATION FOR LEARNING FROM HUMAN FEEDBACK IN LLMS	Ahmadian, Arash; Cremer, Chris; Galle, Matthias; Fadaee, Marzieh; Kreutzer, Julia; Pietquin, Olivier et al.	2024	arXiv preprint (venue not verified)	2402.14740					unknown	REINFORCE leave-one-out baseline outperforms PPO and DPO/RAFT at lower cost; no critic network	4	3	admit	verified via arXiv abs page and downloaded PDF; critic-free RL for tight memory budgets	4
BEIR	BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models	Nandan Thakur, Nils Reimers, Andreas Rucke, Abhishek Srivastava, Iryna Gurevych	2021	NeurIPS 2021 Datasets and Benchmarks	2104.08663	https://github.com/beir-cellar/beir	2288	2025-10-16	Apache-2.0	yes: code, 18 datasets, leaderboard	18-dataset zero-shot retrieval benchmark with nDCG@10/Recall@100 protocol; BM25 stays a hard baseline.	3	3	admit	Abs page and full PDF opened; id-title match verified.	8
BDC-survey	Benchmark Data Contamination of Large Language Models: A Survey	Cheng Xu, Shuhao Guan, Derek Greene, M-Tahar Kechadi	2024	arXiv preprint	2406.04244					no	Taxonomy of contamination types plus detection (n-gram overlap, membership inference, order tests) and mitigation; documents paraphrase-evasion of n-gram gates.	2	3	admit	Abs page and full PDF opened; id-title match verified. Survey paper, no artefact.	8
MoLF	Beyond LoRA vs. Full Fine-Tuning: Gradient-Guided Optimizer Routing for LLM Adaptation	Haozhan Tang; Xiuqi Zhu; Xinyin Zhang; Boxun Li; Virginia Smith; Kevin Kuo	2026	arXiv preprint	2605.07111	https://github.com/11785T23/molf	3	2026-07-02	Apache-2.0	training code released	Optimizer-level routing between FFT and LoRA experts tested at Gemma-3-1B and Qwen2.5-1.5B/3B	3	3	admit	Abs page + PDF opened; repo verified via API; only LoRA-vs-full study at our exact scale	3
BoostCD	Combining Constrained and Unconstrained Decoding via Boosting: BoostCD and Its Application to Information Extraction	Marija Sakota, Robert West	2025	EMNLP 2025	2506.14901	https://github.com/epfl-dlab/BoostCD	2	2025-10-28	MIT	yes (code + models + Wiki-cIE data)	Boosted model fuses constrained+unconstrained base runs; BoostIE beats SynthIE by +17 micro-F1 in-dist, +11 OOD	1	3	admit	Verified at arxiv html full text, ACL anthology page, GitHub API 2026-09-12	6
CorpusLM	CorpusLM: Towards a Unified Language Model on Corpus for Knowledge-Intensive Tasks	Li; Dou; Zhou; Liu	2024	SIGIR 2024	2402.01176	n/a	n/a	n/a	n/a	paper only	One model unifies generative retrieval, closed-book generation and RAG in a single greedy DocIDs-References-Answer decode with ranking-oriented DocID-list training.	3	3	admit	Abs page and PDF opened and verified; the closest published architecture to MelodyScribe: one forward process emitting both retrieval identifiers and the grounded answer.	10
DAPO	DAPO: AN OPEN-SOURCE LLM REINFORCEMENT LEARNING SYSTEM AT SCALE	Yu, Qiying; Zhang, Zheng; Zhu, Ruofei; Yuan, Yufeng; Zuo, Xiaochen; Yue, Yu et al.	2025	arXiv preprint (venue not verified)	2503.14476	https://dapo-sia.github.io/ (code built on verl: https://github.com/volcengine/verl)	23398	2026-09-11	Apache-2.0	yes (training code, curated dataset)	decoupled-clip plus dynamic-sampling GRPO variant; 50 points on AIME 2024 with Qwen2.5-32B; fully open	4	3	admit	verified via arXiv abs page, GitHub API, downloaded PDF; open RL system recipe	4
DeepSeek-Prover-V1.5	DEEPSEEK-PROVER-V1.5: HARNESSING PROOF ASSISTANT FEEDBACK FOR REINFORCEMENT LEARNING AND MONTE-CARLO TREE SEARCH	Xin, Huajian; Ren, Z. Z.; Song, Junxiao; Shao, Zhihong; Zhao, Wanjia; Wang, Haocheng et al.	2024	arXiv preprint (venue not verified)	2408.08152					unknown	RLPAF: Lean 4 proof-assistant verdict as RL reward on a 7B prover; closest published validator-as-reward analogue	4	3	admit	verified via arXiv abs page and downloaded PDF; validator-as-reward existence proof	4
DeepSeek-R1	DEEPSEEK-R1: INCENTIVIZING REASONING CAPABILITY IN LLMS VIA REINFORCEMENT LEARNING	DeepSeek-AI; Guo, Daya; Yang, Dejian; Zhang, Haowei; Song, Junxiao; Wang, Peiyi et al.	2025	arXiv preprint (venue not verified)	2501.12948	https://github.com/deepseek-ai/DeepSeek-R1	91994	2025-06-27	MIT	yes (open models incl. R1-Distill-Qwen-1.5B, 400956 HF downloads, MIT)	R1-Zero pure rule-reward RL plus distillation of reasoning traces into small models down to 1.5B	4	3	admit	verified via arXiv abs page, GitHub API, HF API, downloaded PDF; validator-reward RL plus small-model distillation	4
DeepSeekMath	DEEPSEEKMATH: PUSHING THE LIMITS OF MATHEMATICAL REASONING IN OPEN LANGUAGE MODELS	Shao, Zhihong; Wang, Peiyi; Zhu, Qihao; Xu, Runxin; Song, Junxiao; Bi, Xiao et al.	2024	arXiv preprint (venue not verified)	2402.03300	https://github.com/deepseek-ai/DeepSeek-Math	3441	2024-04-15	MIT	yes (open 7B and 1.3B models, code, data pipeline)	GRPO origin paper: critic-free RL with group-normalized advantage; 7B reaches 51.7 percent on MATH	4	3	admit	verified via arXiv abs page, GitHub API, downloaded PDF; GRPO definition and small-model (1.3B) evidence	4
