name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
qwen3	Qwen3 Technical Report	An Yang et al. (Qwen Team)	2025	arXiv	2505.09388	--	not-fetched	not-fetched	Apache-2.0	yes (weights incl. 0.6B/1.7B/4B)	Unified thinking/non-thinking dense models 0.6B-32B plus MoE; 0.6B/1.7B at 32K context, 4B+ at 128K; smalls distilled from 32B/235B flagships; strong agent/tool evals.	2	3	admit	Abs page and report fetched; directly gives MelodyScribe small-model shortlist (0.6B/1.7B) with tool-calling and long-context numbers.
smollm2	SmolLM2: When Smol Goes Big -- Data-Centric Training of a Small Language Model	Ben Allal et al. (HuggingFaceTB)	2025	arXiv	2502.02737	https://github.com/huggingface/smollm	3890	not-fetched	Apache-2.0	yes (135M/360M/1.7B base+instruct, datasets)	Fully-open 1.7B/360M/135M models overtrained on ~11T tokens; 1.7B-Instruct supports function calling; 16k variant reports HELMET scores.	2	3	admit	Abs page, paper, repo and HF cards fetched; fully-open recipe plus small-model tool-calling evidence.
smollm3	SmolLM3 (release; no paper)	HuggingFaceTB Smol Models team	2025	HF model cards + blog + GitHub (no arXiv paper)	--	https://github.com/huggingface/smollm	3890	not-fetched	Apache-2.0	yes (HuggingFaceTB/SmolLM3-3B, base, quants)	3B on 11.2T tokens; GQA + NoPE (3:1), 128K via YaRN, dual think/no-think, native XML/Python tool calling; recipe fully published.	2	3	admit	No arXiv paper exists; primary sources are repo, HF cards and engineering blog (all fetched). No PDF filed.
gemma-3	Gemma 3 Technical Report	Gemma Team (Google DeepMind)	2025	arXiv	2503.19786	--	not-fetched	not-fetched	Gemma Terms of Use (weights); paper CC-BY-4.0	yes (1B/4B/12B/27B)	1B text-only at 32K plus 4B-27B multimodal at 128K; function calling + structured output; 5:1 local/global attention shrinks KV cache.	2	3	admit	Abs page and report fetched; 1B/4B are on-device candidates with tool-calling and KV-cache-relevant architecture.
phi-4-mini	Phi-4-Mini Technical Report: Compact yet Powerful Multimodal Language Models via Mixture-of-LoRAs	Microsoft et al. (full author list not captured)	2025	arXiv	2503.01743	--	not-fetched	not-fetched	not-fetched	yes (3.8B LM + multimodal)	3.8B, 200K vocab, GQA, 128K via LongRoPE; matches 2x-size models on math/code; mixture-of-LoRAs adds vision/speech while backbone stays frozen.	2	2	admit	Abs page and report fetched; data-centric small-model recipe plus frozen-backbone multimodal pattern. Slightly above 3B; kept as near-band evidence.
lfm2	LFM2 Technical Report	Amini et al. (Liquid AI)	2025	arXiv	2511.23404	--	not-fetched	not-fetched	open weights (SPDX not-fetched)	yes (350M-2.6B dense, 8.3B MoE, VL/audio/ColBERT)	Hybrid gated-conv + sparse-attention backbone, 2x CPU prefill/decode vs same-size transformers; 32K; task Nanos for tool-calling/RAG/extraction; LFM2-ColBERT retriever.	2	3	admit	Abs page and report fetched; most edge-explicit family in lane, with tool-calling and retrieval variants.
minicpm4	MiniCPM4: Ultra-Efficient LLMs on End Devices	Xiao et al. (MiniCPM Team)	2025	arXiv	2506.07900	https://github.com/OpenBMB/MiniCPM	10313	not-fetched	Apache-2.0	yes (0.5B/8B, cdf. CPM.cu, Eagle heads)	0.5B/8B end-side models; sparse attention + quantization + speculative sampling; MiniCPM4-MCP tool-use section; 7x faster 128K prefilling than Qwen3-8B (vendor-reported).	2	3	admit	Seed item re-verified from abs page, report and repo; directly relevant to on-device op emission and MCP tool use.
minicpm-orig	MiniCPM: Unveiling the Potential of Small Language Models with Scalable Training Strategies	MiniCPM Team (full author list not captured)	2024	arXiv	2404.06395	https://github.com/OpenBMB/MiniCPM	10313	not-fetched	Apache-2.0	yes (1.2B/2.4B, DPO/MoE/128K variants)	1.2B/2.4B SLMs matching 7-13B models; WSD scheduler plus ModelTunnel scaling-law search transferred from tiny proxies.	2	2	admit	Abs page, paper and repo fetched; scaling-recipe precedent for MelodyScribe training decisions.
minicpm5-1b	MiniCPM5-1B (release; no paper)	OpenBMB	2026	GitHub release notes + HF (no arXiv paper)	--	https://github.com/OpenBMB/MiniCPM	10313	not-fetched	Apache-2.0	yes (openbmb/MiniCPM5-1B: BF16/GGUF/MLX)	1B dense on-device LLM, Think/No-Think modes, native long context, standard Llama arch (no custom kernels); ships deployment/fine-tuning Agent Skills.	2	3	admit	No paper; primary source is repo README (fetched). Filed because it corrects the brief: no MiniCPM5-2B artefact was found; the released small checkpoint is 1B.
olmo	OLMo: Accelerating the Science of Language Models	Groeneveld et al. (Ai2)	2024	arXiv; ACL 2024	2402.00838	https://github.com/allenai/OLMo	6675	2025-11-24	Apache-2.0	yes (1B/7B weights + Dolma data + code + logs + 100s of checkpoints)	Truly-open 1B/7B programme: data, code, logs and intermediate checkpoints released; explicit decontamination.	2	2	admit	Abs page, paper and repo fetched (stars/push/license via GitHub API); openness baseline for any MelodyScribe training claim.
