name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
sleep-time-compute	Sleep-time Compute: Beyond Inference Scaling at Test-time	Lin, Snell, Wang, Packer, Wooders, Stoica, Gonzalez et al.	2025	arXiv preprint	2504.13171	https://github.com/letta-ai/sleep-time-compute	n/a	n/a	n/a	code	Offline precomputation of context into reusable state amortizes test-time cost.	4	3	admit	Abs page and PDF verified; repo link from abs page, existence verified (HTTP 200).
language-models-need-sleep	Language Models Need Sleep: Learning to Self-Modify and Consolidate Memories	Behrouz, Hashemi, Javanmard, Mirrokni	2026	arXiv preprint	2606.03979	--	n/a	n/a	n/a	none found	LM learns a sleep-time self-modification/consolidation operator over its own memory.	4	3	admit	Abs page and PDF verified; no code link found in paper.
a-mem	A-MEM: Agentic Memory for LLM Agents	Xu, Liang, Mei, Gao, Tan, Zhang	2025	arXiv preprint	2502.12110	https://github.com/WujiangXu/AgenticMemory	n/a	n/a	n/a	code	Zettelkasten-style agentic memory with link generation and memory evolution.	4	3	admit	Abs page and PDF verified; repo link from paper PDF, existence verified (HTTP 301 redirect).
mem0	Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory	Chhikara, Khant, Aryan, Singh, Yadav	2025	arXiv preprint	2504.19413	https://github.com/mem0ai/mem0	65151	2026-09-11	Apache-2.0	code	Production memory layer with extraction, dedup, decay and hybrid-store retrieval.	4	3	admit	Abs page, PDF and GitHub API verified (stars/push/license from API).
memos	MemOS: A Memory OS for AI System	Li, Xi, Li, Chen, Chen, Song et al.	2025	arXiv preprint	2507.03724	https://github.com/MemTensor/MemOS	11287	2026-09-09	Apache-2.0	code	OS-style memory with MemCube versioning, lifecycle states and MemScheduler.	4	3	admit	Abs page and PDF verified; repo link from paper PDF; stars/push from GitHub search API.
reflexion	Reflexion: Language Agents with Verbal Reinforcement Learning	Shinn, Cassano, Berman, Gopinath, Narasimhan, Yao	2023	NeurIPS 2023 (venue per repo description; secondary)	2303.11366	https://github.com/noahshinn/reflexion	3263	2025-01-14	MIT	code	Actor-evaluator-self-reflection loop storing verbal feedback as episodic memory.	4	3	admit	Abs page, PDF and GitHub API verified (stars/push/license from API).
generative-agents	Generative Agents: Interactive Simulacra of Human Behavior	Park, O'Brien, Cai, Morris, Liang, Bernstein	2023	arXiv preprint	2304.03442	https://github.com/joonspk-research/generative_agents	n/a	n/a	n/a	code	Reflection producing higher-level insights plus importance/recency-weighted retrieval.	4	3	admit	Abs page and PDF verified; repo link from paper PDF, existence verified (HTTP 200).
memorybank	MemoryBank: Enhancing Large Language Models with Long-Term Memory	Zhong, Guo, Gao, Ye, Wang	2023	arXiv preprint	2305.10250	https://github.com/zhongwanjun/MemoryBank-SiliconFriend	n/a	n/a	n/a	code	Ebbinghaus forgetting-curve memory updating with nightly consolidation.	4	3	admit	Abs page and PDF verified; repo link from paper PDF, existence verified (HTTP 200).
self-refine	Self-Refine: Iterative Refinement with Self-Feedback	Madaan, Tandon, Gupta, Hallinan, Gao et al.	2023	arXiv preprint	2303.17651	--	n/a	n/a	n/a	none found	Iterative generate-feedback-refine loop with the same model playing all roles.	4	2	admit	Abs page and PDF verified; no official code link found.
expel	ExpeL: LLM Agents Are Experiential Learners	Zhao, Huang, Xu, Lin, Liu, Huang	2023	arXiv preprint	2308.10144	https://github.com/LeapLabTHU/ExpeL	n/a	n/a	n/a	code	Extracts cross-task insights and rules from success/failure trajectories into memory.	4	3	admit	Abs page and PDF verified; repo link from paper PDF, existence verified (HTTP 200).
critic	CRITIC: Large Language Models Can Self-Correct with Tool-Interactive Critiquing	Gou, Shao, Gong, Shen, Yang, Duan, Chen	2023	arXiv preprint	2305.11738	--	n/a	n/a	n/a	none found	Self-correction works when critiques come from external tools, not the model itself.	4	3	admit	Abs page and PDF verified; paper links only tool repos, no official paper code found.
titans	Titans: Learning to Memorize at Test Time	Behrouz, Zhong, Mirrokni	2024	arXiv preprint	2501.00663	--	n/a	n/a	n/a	none found	Neural long-term memory module updated by gradient surprise at test time.	4	2	admit	Abs page and PDF verified; no official code link found.
memgpt	MemGPT: Towards LLMs as Operating Systems	Packer, Wooders, Lin, Fang, Patil, Stoica, Gonzalez	2023	arXiv preprint	2310.08560	https://github.com/letta-ai/letta	n/a	n/a	n/a	code	OS-paged memory hierarchy with explicit eviction and function-call memory management.	4	3	admit	Abs page and PDF verified; repo existence verified (HTTP 200); lineage to Letta org confirmed via shared authorship.
self-rag	Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection	Asai, Wu, Wang, Sil, Hajishirzi	2023	arXiv preprint	2310.11511	--	n/a	n/a	n/a	none found	Trained reflection tokens gate retrieval and critique; self-qlora checkpoints reported.	4	2	admit	Abs page and PDF verified; official repo not found (selfrag/self-rag 404).
retain-or-consolidate	Retain or Consolidate? Budget-Dependent Operator Selection for Language Agent Memory	Kang, Liu, Kai, Liang, Tang, Cui et al.	2026	arXiv preprint	2607.17545	--	n/a	n/a	n/a	none found	Selects retain-vs-consolidate operators based on memory budget; direct revise-pass policy.	4	3	admit	Abs page and PDF verified; no code link found.
learning-to-forget	Learning to Forget: Sleep-Inspired Memory Consolidation for Resolving Proactive Interference in Large Language Models	Xie	2026	arXiv preprint	2603.14517	--	n/a	n/a	n/a	none found	Sleep-inspired consolidation that forgets interfering memories to cut proactive interference.	4	3	admit	Abs page and PDF verified; no code link found.
trustmem	TRUSTMEM: Learning Trustworthy Memory Consolidation for LLM Agents with Long-Term Memory	Yang, Paul, Srinivasan, Kulkarni, Chappidi	2026	arXiv preprint	2606.25161	--	n/a	n/a	n/a	none found	Trust-scored consolidation filtering untrustworthy content before it enters memory.	4	3	admit	Abs page and PDF verified; no code link found (paper references memobase as dependency).
timem	TiMem: Temporal-Hierarchical Memory Consolidation for Long-Horizon Conversational Agents	Li, Yu, Ni, Zeng, Xu, Zhang et al.	2026	arXiv preprint	2601.02845	https://github.com/TiMEM-AI/timem	n/a	n/a	n/a	code	Temporal-hierarchical consolidation with time-aware indexing for long conversations.	4	2	admit	Abs page and PDF verified; repo link from abs page, existence verified (HTTP 200).
mela	Mela: Test-Time Memory Consolidation based on Transformation Hypothesis	Chen	2026	arXiv preprint	2605.10537	https://github.com/Musubi-ai/Mela	n/a	n/a	n/a	code	Test-time consolidation operator derived from a transformation hypothesis of memory.	4	2	admit	Abs page and PDF verified; repo link from paper PDF, existence verified (HTTP 200).
streaming-llm	Efficient Streaming Language Models with Attention Sinks	Xiao, Tian, Chen, Han, Lewis	2023	arXiv preprint	2309.17453	https://github.com/mit-han-lab/streaming-llm	n/a	n/a	n/a	code	Attention-sink KV eviction policy enabling infinite-length streaming inference.	4	2	admit	Abs page and PDF verified; repo link from paper PDF and abs page, existence verified (HTTP 200).
ewc	Overcoming catastrophic forgetting in neural networks	Kirkpatrick, Pascanu, Rabinowitz, Veness, Desjardins et al.	2016	arXiv preprint	1612.00796	--	n/a	n/a	n/a	none found	Elastic weight consolidation: Fisher-weighted penalty protecting important weights.	4	2	admit	Abs page and PDF verified; no official code.
whp-unlearning	Who's Harry Potter? Approximate Unlearning in LLMs	Eldan, Russinovich	2023	arXiv preprint	2310.02238	--	n/a	n/a	n/a	none found	Targeted unlearning by fine-tuning on relabeled forget-set tokens.	4	2	admit	Abs page and PDF verified; no official code.
recursive-self-refinement	Do Language Models Converge to Themselves? Recursive Self-Refinement as Textual Relaxation	Wu, Xu, Kang, Chen, Liu, Yin	2026	arXiv preprint	2607.22653	--	n/a	n/a	n/a	none found	Models recursive self-refinement as textual relaxation with convergence analysis.	4	2	admit	Abs page and PDF verified; no code link found.
sleeping-agent	The Sleeping Agent: What Gist-Based Context Compression Loses and Why	Kyrkewood	2026	arXiv preprint	2608.11775	https://github.com/kyrkewood/sleeping-agent	n/a	n/a	n/a	code	Measures information loss from gist-based sleep-time compression; a cautionary result.	4	2	admit	Abs page and PDF verified; repo link from abs page, existence verified (HTTP 200).
agent-drift	Agent Drift: Quantifying Behavioral Degradation in Multi-Agent LLM Systems Over Extended Interactions	Rath	2026	arXiv preprint	2601.04170	--	n/a	n/a	n/a	none found	Quantifies behavioral drift over long multi-agent interactions; drift metric.	4	2	admit	Abs page and PDF verified; no code link found.
ssgm	Governing Evolving Memory in LLM Agents: Risks, Mechanisms, and the Stability and Safety Governed Memory (SSGM) Framework	Lam, Li, Zhang, Zhao	2026	arXiv preprint	2603.11768	--	n/a	n/a	n/a	none found	Governance framework bounding stability/safety risks of self-evolving memory.	4	3	admit	Abs page and PDF verified; no code link found.
oep	OEP: Poisoning Self-Evolving LLM Agents via Locally Correct but Non-Transferable Experiences	Wang, Lou, Zhou, Li	2026	arXiv preprint	2605.18930	--	n/a	n/a	n/a	none found	Attack injecting locally-correct but non-transferable experiences into evolving memory.	4	3	admit	Abs page and PDF verified; no code link found.
provenance-firewall	Memory Provenance Laundering in LLM Agents: A Non-Amplification Firewall for Persistent Memory	Xu, Xiao, Shao, Liu, Li	2026	arXiv preprint	2607.29167	--	n/a	n/a	n/a	none found	Non-amplification firewall blocking provenance laundering in persistent memory.	4	3	admit	Abs page and PDF verified; no code link found.
hindsight	Hindsight is 20/20: Building Agent Memory that Retains, Recalls, and Reflects	Latimer, Boschi, Neeser, Bartholomew, Srivastava et al.	2025	arXiv preprint	2512.12818	https://github.com/vectorize-io/hindsight	n/a	n/a	n/a	code	Retain-recall-reflect agent memory pipeline with hindsight reflection step.	4	2	admit	Abs page and PDF verified; repo link from paper PDF, existence verified (HTTP 200).
mem-alpha	Mem-alpha: Learning Memory Construction via Reinforcement Learning	Wang, Takanobu, Liang, Mao, Hu, McAuley, Wu	2025	arXiv preprint	2509.25911	https://github.com/wangyu-ustc/Mem-alpha	n/a	n/a	n/a	code	RL-trained memory construction policy deciding what to write and link.	4	3	admit	Abs page and PDF verified; repo link from paper PDF, existence verified (HTTP 200).
lifealign	LifeAlign: Lifelong Alignment for Large Language Models with Memory-Augmented Focalized Preference Optimization	Li, Zhou, Zhan, Yang, Pan, Chen et al.	2025	arXiv preprint	2509.17183	https://github.com/real-ljs/LifeAlign	n/a	n/a	n/a	code	Memory-augmented preference optimization for lifelong alignment without forgetting.	4	1	admit	Abs page and PDF verified; repo link from abs page, existence verified (HTTP 200).
function-tokens	Memory Retrieval and Consolidation in Large Language Models through Function Tokens	Zhang, Lin, Li	2025	arXiv preprint	2510.08203	--	n/a	n/a	n/a	none found	Retrieval/consolidation triggered through learned function-token interface.	4	1	admit	Abs page and PDF verified; no code link found.
human-like-recall	My agent understands me better: Integrating Dynamic Human-like Memory Recall and Consolidation in LLM-Based Agents	Hou, Tamoto, Miyashita	2024	arXiv preprint	2404.00573	--	n/a	n/a	n/a	none found	Recall/consolidation loop modeled on human memory dynamics for companion agents.	4	1	admit	Abs page and PDF verified; no code link found.
memgas	From Single to Multi-Granularity: Toward Long-Term Memory Association and Selection of Conversational Agents	Xu, Wen, Jia, Zhang, Zhang, Wang et al.	2025	arXiv preprint	2505.19549	https://github.com/quqxui/MemGAS	n/a	n/a	n/a	code	Multi-granularity memory association and selection policy for dialogue agents.	4	1	admit	Abs page and PDF verified; repo link from abs page, existence verified (HTTP 200).
cannot-self-correct	Large Language Models Cannot Self-Correct Reasoning Yet	Huang, Chen, Mishra, Zheng, Yu, Song, Zhou	2023	arXiv preprint	2310.01798	--	n/a	n/a	n/a	none found	Intrinsic self-correction of reasoning fails without external feedback or oracle.	refutes	2	refute	Abs page verified; title-level claim contradicts unsupervised revise-pass optimism. Not downloaded per rules.
sample-more-reflect-less	Sample More, Reflect Less: Self-Refine and Reflexion Lose to Repeated Sampling at Equal Token Cost, from 1.5B to 7B	Mirzaei	2026	arXiv preprint	2607.28576	--	n/a	n/a	n/a	none found	At 1.5B-7B, repeated sampling beats Self-Refine/Reflexion loops at equal token budget.	refutes	3	refute	Abs page verified; title-level claim directly refutes small-model reflection cost-benefit. Not downloaded per rules.
human-memory-framework	A Framework for Inference Inspired by Human Memory Mechanisms	Zeng, Lin, Hu, Huang, Zhang	2023	arXiv preprint	2310.09297	--	n/a	n/a	n/a	none found	Conceptual human-memory-inspired inference framework.	4	0	abstain	Abs page verified only; full text not reviewed, mechanism detail unknown.
h2o-eviction	H2O Heavy-Hitter Oracle KV-cache eviction	unverified	2023	unknown	unknown	--	n/a	n/a	n/a	none found	KV-cache eviction keeping heavy-hitter tokens.	4	0	abstain	Could not verify arXiv id (guessed 2311.13856 resolved to an unrelated paper); no primary source opened.
rmm	Reflective Memory Management (RMM)	unverified	unknown	unknown	unknown	--	n/a	n/a	n/a	none found	Unknown; name recalled without source.	4	0	abstain	Could not verify existence from any fetched page; recalled name only.
expel-misid	The Feasibility of Electric Air Taxis (misidentified as ExpeL)	Hagag, Hoeveler	2023	arXiv preprint	2310.01417	--	n/a	n/a	n/a	none found	Unrelated paper reached via wrong recalled id for ExpeL.	4	0	abstain	Abs page verified it is NOT ExpeL; kept in ledger so the misidentification is not repeated.
