name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
HippoRAG	Neurobiologically Inspired Long-Term Memory for Large Language Models	Gutierrez; Shu; Gu; Yasunaga; Su	2024	NeurIPS 2024	2405.14831	https://github.com/OSU-NLP-Group/HippoRAG	~4000 (repo README page, fetched 2026-09-12)	not fetched	MIT	yes (code + eval data; HF dataset osunlp/HippoRAG_2)	LLM-built schemaless KG + Personalized PageRank for single-step multi-hop retrieval.	2	3	admit	Verified: arXiv abs page + NeurIPS proceedings + repo README all fetched.
HippoRAG-2	From RAG to Memory: Non-Parametric Continual Learning for Large Language Models	Gutierrez; Shu; Qi; Zhou; Su	2025	ICML 2025	2502.14802	https://github.com/OSU-NLP-Group/HippoRAG	~4000 (repo README page, fetched 2026-09-12)	not fetched	MIT	yes (code + HF dataset osunlp/HippoRAG_2)	Deeper passage-KG integration fixing structure-augmented RAG's factual-memory regression.	2	3	admit	Verified: arXiv abs page + PDF + repo README all fetched.
GraphRAG	From Local to Global: A Graph RAG Approach to Query-Focused Summarization	Edge; Trinh; Cheng; Bradley; Chao; Mody; Truitt; Larson et al.	2024	arXiv preprint (Microsoft Research)	2404.16130	https://github.com/microsoft/graphrag	35949 (GitHub API, fetched 2026-09-12)	2026-09-08	MIT	yes (code)	LLM-derived entity KG + Leiden communities + map-reduce community summaries for global sensemaking.	2	3	admit	Verified: arXiv abs + PDF + repo (maintenance-mode notice) all fetched.
LightRAG	Simple and Fast Retrieval-Augmented Generation	Guo; Xia; Yu; Ao; Huang	2024	EMNLP 2025 Findings	2410.05779	https://github.com/HKUDS/LightRAG	~39300 (search-index snapshot, fetched 2026-09-12)	2026-07-15	MIT	yes (code)	Dual-level (low/high) graph+vector retrieval with incremental update algorithm.	2	3	admit	Verified: arXiv abs + ACL Anthology + repo stats all fetched.
MiniRAG	Towards Extremely Simple Retrieval-Augmented Generation	Fan; Wang; Ren; Huang	2025	arXiv preprint	2501.06713	https://github.com/HKUDS/MiniRAG	1951 (search-index snapshot, fetched 2026-09-12)	2025-10-16	MIT	yes (code + LiHua-World on-device benchmark)	Heterogeneous chunk-entity graph + topology-enhanced retrieval letting SLMs match LLM-RAG at 25% storage.	2	3	admit	Verified: arXiv abs + PDF + repo stats all fetched.
KAG	Boosting LLMs in Professional Domains via Knowledge Augmented Generation	Liang; Sun; Gui; et al. (Ant Group)	2024	arXiv preprint	2409.13731	https://github.com/OpenSPG/KAG	9048 (GitHub API, fetched 2026-09-12)	2026-01-28	Apache-2.0	yes (code, OpenSPG engine)	KG-vector mutual indexing + logical-form-guided hybrid reasoning for professional QA.	2	3	admit	Verified: arXiv abs + PDF + repo API all fetched.
TableRAG-Google	Million-Token Table Understanding with Language Models	Chen; Miculicich; Eisenschlos; Wang; Wang; Chen; Fujii; Lin; Lee; Pfister	2024	NeurIPS 2024	2410.04739	https://github.com/google-research/google-research/tree/master/table_rag	n/a (monorepo subdir)	not fetched	not fetched	yes (code subdir + ArcadeQA/BirdQA million-token benchmarks)	Query-expansion + schema/cell retrieval for million-token tables.	2	3	admit	Verified: arXiv abs + NeurIPS proceedings + PDF all fetched.
TableRAG-Huawei	A Retrieval Augmented Generation Framework for Heterogeneous Document Reasoning	Yu; Pu; Chen	2025	EMNLP 2025	2506.10380	https://github.com/yxh-y/TableRAG	not fetched (rate-limited)	not fetched	not fetched	yes (code + HeteQA benchmark)	Iterative decompose-retrieve-SQL-execute loop unifying text retrieval with symbolic SQL over tables.	2	3	admit	Verified: arXiv abs + PDF + ACL Anthology (2025.emnlp-main.710) + repo README all fetched.
Zep-Graphiti	A Temporal Knowledge Graph Architecture for Agent Memory	Rasmussen; Paliychuk; Beauvais; Ryan; Chalef	2025	arXiv preprint	2501.13956	https://github.com/getzep/graphiti	~30500 (search-index snapshots 29202-30544, fetched 2026-09-12)	not fetched	Apache-2.0	yes (code; repo README badges link this arXiv id)	Temporally-aware KG with fact validity windows + hybrid semantic/keyword/graph retrieval for streaming agent memory.	2	3	admit	Verified: arXiv abs + PDF + repo page all fetched.
Cognee	Cognee: open-source AI memory platform for agents (no paper)	Topoteretes team	--	-- (no paper)	--	https://github.com/topoteretes/cognee	~30400 (search-index snapshots 30072-30431, fetched 2026-09-12)	not fetched	Apache-2.0	yes (code, pip)	ECL pipelines building evolving KG+vector memory; single-Postgres (pgvector) backend option.	2	3	admit	Verified: repo README + vendor page fetched; no peer-reviewed paper exists, admitted as code project.
