name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
BEIR	BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models	Nandan Thakur, Nils Reimers, Andreas Rucke, Abhishek Srivastava, Iryna Gurevych	2021	NeurIPS 2021 Datasets and Benchmarks	2104.08663	https://github.com/beir-cellar/beir	2288	2025-10-16	Apache-2.0	yes: code, 18 datasets, leaderboard	18-dataset zero-shot retrieval benchmark with nDCG@10/Recall@100 protocol; BM25 stays a hard baseline.	3	3	admit	Abs page and full PDF opened; id-title match verified.
MTEB	MTEB: Massive Text Embedding Benchmark	Niklas Muennighoff, Nouamane Tazi, Loic Magne, Nils Reimers	2023	EACL 2023	2210.07316	https://github.com/embeddings-benchmark/mteb	3420	2026-09-11	Apache-2.0	yes: code, 58 datasets, HF leaderboard	8-task embedding benchmark (retrieval, STS, clustering, rerank, classification...); no single method dominates all tasks.	3	3	admit	Abs page and full PDF opened; id-title match verified.
MMTEB	MMTEB: Massive Multilingual Text Embedding Benchmark	Kenneth Enevoldsen et al. (community)	2025	arXiv preprint	2502.13595	https://github.com/embeddings-benchmark/mteb			Apache-2.0	yes: via MTEB repo, 500+ tasks over 250+ languages	Community expansion of MTEB: 500+ quality-controlled tasks incl. instruction-following and long-document retrieval.	3	2	admit	Abs page and full PDF opened; id-title match verified. Stars/push inherit MTEB repo; not separately recorded.
ARES	ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems	Jon Saad-Falcon, Omar Khattab, Christopher Potts, Matei Zaharia	2024	NAACL 2024	2311.09476	https://github.com/stanford-futuredata/ARES	732	2025-03-28	Apache-2.0	yes: code, synthetic-data pipeline, DeBERTa judges	Fine-tunes lightweight judges on synthetic data; scores context relevance, faithfulness, answer relevance with PPI confidence intervals from ~150-300 human labels.	6	3	admit	Abs page and full PDF opened; id-title match verified.
RAGAS	Ragas: Automated Evaluation of Retrieval Augmented Generation	Shahul Es, Jithin James, Luis Espinosa-Anke, Steven Schockaert	2024	EACL 2024 System Demonstrations	2309.15217	https://github.com/vibrantlabsai/ragas	15714	2026-02-24	Apache-2.0	yes: code, WikiEval dataset on HF	Reference-free RAG metrics (faithfulness, answer relevance, context relevance) via LLM prompts; validated against human judgments on WikiEval.	6	3	admit	Abs page and full PDF opened; repo moved explodinggradients/ragas to vibrantlabsai/ragas, followed redirect.
KILT	KILT: a Benchmark for Knowledge Intensive Language Tasks	Fabio Petroni et al. (13 authors)	2021	NAACL 2021	2009.02252	https://github.com/facebookresearch/KILT	978	2022-03-31	MIT	yes: code, 11 datasets on one Wikipedia snapshot	Unifies 5 knowledge-intensive tasks on one snapshot; KILT score requires provenance (R-precision 1) AND downstream output correct: joint retrieval-generation metric.	6	3	admit	Abs page and full PDF opened; id-title match verified. Repo quiet since 2022.
Text2KGBench	Text2KGBench: A Benchmark for Ontology-Driven Knowledge Graph Generation from Text	Nandana Mihindukulasooriya, Sanju Tiwari, Carlos F. Enguix, Kusum Lata	2023	ISWC 2023 Resources Track	2308.02357	https://github.com/cenguix/Text2KGBench	92	2024-05-06	Apache-2.0	yes: code, eval scripts, 2 datasets (Wikidata-TekGen 13k sents, DBpedia-WebNLG 4.8k)	Ontology-conditioned triple extraction eval: precision/recall/F1 plus ontology-conformance and subject/relation/object hallucination metrics.	1	3	admit	Abs page and full PDF opened; id-title match verified.
HELM	Holistic Evaluation of Language Models	Percy Liang et al. (CRFM, many authors)	2023	TMLR 2023	2211.09110	https://github.com/stanford-crfm/helm	2907	2026-09-01	Apache-2.0	yes: code, scenarios, raw completions	Multi-metric standard (accuracy, calibration, robustness, fairness, toxicity, efficiency) over 16 core scenarios; reporting template for joint-capability models.	6	2	admit	Abs page and full PDF opened; id-title match verified.
PPI	Prediction-Powered Inference	Anastasios Angelopoulos, Stephen Bates, Clara Fannjiang, Michael Jordan, Tijana Zrnic	2023	Science 382 (6671)	2301.09633					yes: code linked from paper (URL not recorded)	Valid confidence intervals combining a small labeled set with many model predictions; more accurate predictor means tighter intervals.	3	3	admit	Abs page and full PDF opened; id-title match verified. Repo URL not recorded so stars/push left blank.
Prometheus	Prometheus: Inducing Fine-grained Evaluation Capability in Language Models	Seungone Kim et al.	2024	ICLR 2024	2310.08491	https://github.com/prometheus-eval/prometheus	325	2023-11-11	MIT	yes: code, Feedback Collection, 13B evaluator on HF	Open 13B evaluator trained on 1K rubrics/100K GPT-4 feedbacks; Pearson 0.897 with humans, on par with GPT-4 when reference materials accompany.	6	3	admit	Abs page and full PDF opened; id-title match verified.
Prometheus-2	Prometheus 2: An Open Source Language Model Specialized in Evaluating Other Language Models	Seungone Kim et al.	2024	EMNLP 2024	2405.01535	https://github.com/prometheus-eval/prometheus-eval	1115	2025-04-25	Apache-2.0	yes: code, Preference Collection, 7B and 8x7B evaluators	Adds pairwise ranking via weight-merged direct-assessment and preference models; 0.6-0.7 Pearson with GPT-4, 72-85pct human agreement.	6	3	admit	Abs page and full PDF opened; id-title match verified.
