name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
MiniLLM	MINILLM: ON-POLICY DISTILLATION OF LARGE LANGUAGE MODELS	Gu, Yuxian; Dong, Li; Wei, Furu; Huang, Minlie	2023	ICLR 2024	2306.08543	https://github.com/microsoft/LMOps	4473	2026-07-25	MIT	yes (code, data, checkpoints per abstract)	reverse-KL on-policy distillation for generative LMs; scales 120M to 13B	4	3	admit	verified via arXiv abs page and downloaded PDF; core on-policy distillation recipe
GKD	ON-POLICY DISTILLATION OF LANGUAGE MODELS: LEARNING FROM SELF-GENERATED MISTAKES	Agarwal, Rishabh; Vieillard, Nino; Zhou, Yongchao; Stanczyk, Piotr; Ramos, Sabela; Geist, Matthieu et al.	2023	ICLR 2024	2306.13649					unknown	trains student on its own generated sequences with teacher feedback; unifies distillation with RLHF	4	3	admit	verified via arXiv abs page and downloaded PDF; on-policy + RL integration
DistiLLM	DISTILLM: TOWARDS STREAMLINED DISTILLATION FOR LARGE LANGUAGE MODELS	Ko, Jongwoo; Kim, Sungnyun; Chen, Tianyi; Yun, Se-Young	2024	ICML 2024	2402.03898	https://github.com/jongwooko/distillm	268	2025-03-13	none listed	yes (code)	skew-KL loss plus adaptive off-policy use of student outputs; up to 4.3x speedup over on-policy KD	4	3	admit	verified via arXiv abs page, GitHub API, downloaded PDF; efficiency recipe for single-GPU distillation
DistiLLM-2	DISTILLM-2: A CONTRASTIVE APPROACH BOOSTS THE DISTILLATION OF LLMS	Ko, Jongwoo; Chen, Tianyi; Kim, Sungnyun; Ding, Tianyu; Liang, Luming; Zharkov, Ilya et al.	2025	ICML 2025 Spotlight	2503.07067					unknown	contrastive distillation: raise likelihood of teacher responses while lowering student ones; covers instruction-following, code, preference alignment	4	2	admit	verified via arXiv abs page and downloaded PDF; contrastive variant of distillation
SeqKD	SEQUENCE-LEVEL KNOWLEDGE DISTILLATION	Kim, Yoon; Rush, Alexander M.	2016	arXiv preprint (venue not verified)	1606.07947					unknown	train student on teacher-generated sequences rather than token labels; best student 10x faster with little loss	4	3	admit	verified via arXiv abs page and downloaded PDF; founding sequence-level distillation result
STaR	STAR: BOOTSTRAPPING REASONING WITH REASONING	Zelikman, Eric; Wu, Yuhuai; Mu, Jesse; Goodman, Noah D.	2022	arXiv preprint (venue not verified)	2203.14465					unknown	iterative loop: generate rationales, keep those yielding correct answers (validator filter), retrain; matches 30x larger SOTA	4	3	admit	verified via arXiv abs page and downloaded PDF; validator-filtered self-training template for Proof-as-reward
RFT	SCALING RELATIONSHIP ON LEARNING MATHEMATICAL REASONING WITH LARGE LANGUAGE MODELS	Yuan, Zheng; Yuan, Hongyi; Li, Chengpeng; Dong, Guanting; Lu, Keming; Tan, Chuanqi et al.	2023	arXiv preprint (working paper)	2308.01825					unknown	rejection-sampling fine-tuning on self-generated correct paths; log-linear data scaling; LLaMA-7B GSM8K 35.9 to 49.3 percent	4	3	admit	verified via arXiv abs page and downloaded PDF; rejection-sampling data scaling law
DeepSeekMath	DEEPSEEKMATH: PUSHING THE LIMITS OF MATHEMATICAL REASONING IN OPEN LANGUAGE MODELS	Shao, Zhihong; Wang, Peiyi; Zhu, Qihao; Xu, Runxin; Song, Junxiao; Bi, Xiao et al.	2024	arXiv preprint (venue not verified)	2402.03300	https://github.com/deepseek-ai/DeepSeek-Math	3441	2024-04-15	MIT	yes (open 7B and 1.3B models, code, data pipeline)	GRPO origin paper: critic-free RL with group-normalized advantage; 7B reaches 51.7 percent on MATH	4	3	admit	verified via arXiv abs page, GitHub API, downloaded PDF; GRPO definition and small-model (1.3B) evidence
DeepSeek-R1	DEEPSEEK-R1: INCENTIVIZING REASONING CAPABILITY IN LLMS VIA REINFORCEMENT LEARNING	DeepSeek-AI; Guo, Daya; Yang, Dejian; Zhang, Haowei; Song, Junxiao; Wang, Peiyi et al.	2025	arXiv preprint (venue not verified)	2501.12948	https://github.com/deepseek-ai/DeepSeek-R1	91994	2025-06-27	MIT	yes (open models incl. R1-Distill-Qwen-1.5B, 400956 HF downloads, MIT)	R1-Zero pure rule-reward RL plus distillation of reasoning traces into small models down to 1.5B	4	3	admit	verified via arXiv abs page, GitHub API, HF API, downloaded PDF; validator-reward RL plus small-model distillation
DAPO	DAPO: AN OPEN-SOURCE LLM REINFORCEMENT LEARNING SYSTEM AT SCALE	Yu, Qiying; Zhang, Zheng; Zhu, Ruofei; Yuan, Yufeng; Zuo, Xiaochen; Yue, Yu et al.	2025	arXiv preprint (venue not verified)	2503.14476	https://dapo-sia.github.io/ (code built on verl: https://github.com/volcengine/verl)	23398	2026-09-11	Apache-2.0	yes (training code, curated dataset)	decoupled-clip plus dynamic-sampling GRPO variant; 50 points on AIME 2024 with Qwen2.5-32B; fully open	4	3	admit	verified via arXiv abs page, GitHub API, downloaded PDF; open RL system recipe
