name	title	authors	year	venue	arxiv_id_or_doi	repo_url	stars	last_push	license	artefact_released	one_line	capability	relevance_0_3	disposition	reason
Gorilla	Gorilla: Large Language Model Connected with Massive APIs	Patil et al.	2023	arXiv preprint	2305.15334	https://github.com/ShishirPatil/gorilla	13021	2026-04-13	Apache-2.0	yes: model + APIBench data	First SFT recipe for API-call emission (LLaMA + retriever + APIBench)	1	3	admit	Abs page opened; title/authors/date verified; repo stars/license/push via GitHub API
Toolformer	Toolformer: Language Models Can Teach Themselves to Use Tools	Schick et al.	2023	arXiv preprint	2302.04761	none found	—	—	—	no: no official release	Self-supervised API-call insertion via execution-filtered sampling	1	2	admit	Abs page opened and verified; admitted for the execution-filter data recipe
ReAct	ReAct: Synergizing Reasoning and Acting in Language Models	Yao et al.	2022	arXiv preprint	2210.03629	none found	—	—	—	no	Thought-action-observation prompting scaffold for harness tool loops	1	2	admit	Abs page opened and verified; admitted as the harness prompting baseline
ToolLLM	ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs	Qin et al.	2023	arXiv preprint	2307.16789	none verified	—	—	—	yes: ToolBench data (reported in paper)	DFSDT multi-agent data pipeline + ToolBench 16k-API benchmark	1	3	admit	Abs page opened and verified; admitted for DFSDT pipeline and scale precedent
API-Bank	API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs	Li et al.	2023	arXiv preprint	2304.08244	none verified	—	—	—	yes: benchmark data (reported in paper)	73-API executable dialogue benchmark used by Granite/Hammer for generalisation	1	2	admit	Abs page opened and verified; admitted as held-out benchmark model
ToolAlpaca	ToolAlpaca: Generalized Tool Learning for Language Models with 3000 Simulated Cases	Tang et al.	2023	arXiv preprint	2306.05301	none verified	—	—	—	yes: 3.9k simulated instances (reported in paper)	3000-case simulated tool-use SFT showing compact-model gains	1	2	admit	Abs page opened and verified; admitted as small-data SFT precedent
Outlines	Efficient Guided Generation for Large Language Models	Willard & Louf	2023	arXiv preprint	2307.09702	https://github.com/dottxt-ai/outlines	15788	2026-09-09	Apache-2.0	yes: Outlines library	FSM-index constrained decoding at ~O(1) per step	1	3	admit	Abs page opened and verified; repo stats via GitHub API
LLMCompiler	An LLM Compiler for Parallel Function Calling	Kim et al.	2023	arXiv preprint	2312.04511	none verified	—	—	—	yes: framework code (reported in paper)	Plan-then-DAG-execute grammar for parallel calls; TinyAgent builds on it	1	3	admit	Abs page opened and verified; admitted as op-plan grammar design
FireAct	FireAct: Toward Language Agent Fine-tuning	Chen et al.	2023	arXiv preprint	2310.05915	none verified	—	—	—	no (uses public benchmarks)	ReAct-trajectory fine-tuning: small models beat prompted large ones	1	2	admit	Abs page opened and verified; admitted for trajectory-SFT recipe
SynCode	SynCode: LLM Generation with Grammar Augmentation	Ugare et al.	2024	arXiv preprint	2403.01632	https://github.com/structuredllm/syncode	339	2026-01-19	MIT	yes: SynCode library	Sound/complete CFG decoding; 100% JSON-schema validity on Gemma2-2B	1	3	admit	Abs page opened and verified; repo stats via GitHub API
FoFo	FoFo: A Benchmark to Evaluate LLMs' Format-Following Capability	Xia et al.	2024	ACL 2024	2402.18667	https://github.com/SalesforceAIResearch/FoFo	27	2026-06-02	Apache-2.0	yes: benchmark	Format-following is independent of content quality; open models lag	1	3	admit	Abs page verified; ACL venue via ACL Anthology page; repo stats via GitHub API
Seal-Tools	Seal-Tools: Self-Instruct Tool Learning Dataset for Agent Tuning and Detailed Benchmark	Wu et al.	2024	NLPCC 2024	2405.08355	https://github.com/fairyshine/Seal-Tools	57	2024-11-05	Apache-2.0	yes: 4k tools + 14k instances	Self-instruct tool/instance generation with nested calls; Tool/Param F1 eval	1	2	admit	Abs page opened and verified; repo stats via GitHub API
APIGen	APIGen: Automated Pipeline for Generating Verifiable and Diverse Function-Calling Datasets	Liu et al.	2024	NeurIPS 2024 Datasets & Benchmarks	2406.18518	none verified	—	—	—	yes: 60k-entry dataset (HF Salesforce/xlam-function-calling-60k)	Format+execution+semantic 3-stage verification; 1.3B beats GPT-3.5	1	3	admit	Abs page opened and verified; NeurIPS venue via proceedings page; dataset URL via paper
Granite	Granite-Function Calling Model: Introducing Function Calling Abilities via Multi-task Learning of Granular Tasks	Abdelaziz et al.	2024	EMNLP 2024 Industry	2407.00121	none verified	—	—	—	yes: Apache-2.0 20B model (reported in paper)	7-task granular multi-task SFT with QLoRA r8 on 142k examples	1	3	admit	Abs page opened and verified; EMNLP venue via IBM Research page
TinyAgent	TinyAgent: Function Calling at the Edge	Erdogan et al.	2024	EMNLP 2024 demo	2409.00608	https://github.com/SqueezeAILab/TinyAgent	498	2024-09-04	MIT	yes: 1.1B/7B models + dataset	Narrow-task SFT takes 1.1B 12.7%->80% success, beating GPT-4-Turbo	1	3	admit	Abs page opened and verified; EMNLP venue via ACL Anthology page; repo stats via GitHub API
ToolACE	ToolACE: Winning the Points of LLM Function Calling	Liu et al.	2024	ICLR 2025	2409.00920	none verified	—	—	—	yes: model + data subset (HF Team-ACE)	API self-evolution + complexity-guided dialogs + dual verification; LoRA r16	1	3	admit	Abs page opened and verified; ICLR venue via proceedings page; HF org via HF dataset page
xLAM	xLAM: A Family of Large Action Models to Empower AI Agent Systems	Zhang et al.	2024	arXiv preprint	2409.03215	none verified	—	—	—	yes: models + 60k dataset (reported in paper)	SFT+DPO function-calling family incl. 1B model; data reused by Hammer	1	3	admit	Abs page opened and verified; admitted for SFT+DPO recipe and 1B result
Hammer	Hammer: Robust Function-Calling for On-Device Language Models via Function Masking	Lin et al.	2024	arXiv preprint	2410.04587	https://github.com/MadeAgents/Hammer	123	2025-06-13	Apache-2.0	yes: 1.5B/4B/7B models + 7.5k irrelevance data	Function masking + irrelevance augmentation; SFT harms abstention w/o negatives	1	3	admit	Abs page opened and verified; repo stats via GitHub API; HF dataset/models via paper
